,01_Kingdom,02_Subkingdom,03_Infrakingdom,04_Superdivision,05_Division,06_Subdivision,07_Class,08_Superorder,09_Order,10_Family,11_Genus,12_Species,treename,tsn,08_Subclass,13_Variety,14_Variety,15_Variety,16_Variety,13_Subspecies,14_Subspecies,17_Variety,18_Variety,19_Variety,01_Species
47,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Rosales,Moraceae,Morus,Morus rubra,Red Mulberry,19070,,,,,,,,,,,
48,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Magnolianae,Magnoliales,Magnoliaceae,Liriodendron,Liriodendron tulipifera,tulip poplar,18086,,,,,,,,,,,
49,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Magnolianae,Magnoliales,Magnoliaceae,Magnolia,Magnolia fraseri,Fraser Magnolia,18073,,,,,,,,,,,
50,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Magnolianae,Laurales,Lauraceae,Sassafras,Sassafras albidum,Sassafras,18158,,,,,,,,,,,
51,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Proteanae,Proteales,Platanaceae,Platanus,Platanus occidentalis,American sycamore,19020,,,,,,,,,,,
52,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Magnolianae,Magnoliales,Annonaceae,Asimina,Asimina triloba,Common Pawpaw 44,18117,,,,,,,,,,,
53,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Saxifraganae,Saxifragales,Altingiaceae,Liquidambar,Liquidambar styraciflua,American sweetgum,19027,,,,,,,,,,,
54,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Rosales,Rosaceae,Amelanchier,Amelanchier arborea,Downy Serviceberry,25110,,,,,,,,,,,
55,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Fabales,Fabaceae,Cercis,Cercis canadensis,Eastern Redbud,25782,,Cercis canadensis var. canadensis,Cercis canadensis var. mexicana,Cercis canadensis var. texensis,,,,,,,
56,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Asteranae,Cornales,Cornaceae,Cornus,Cornus florida,flowering dogwood,27806,,,,,,,,,,,
57,,,,,,,,,,,,,yellow buckeye,28717,,,,,,,,,,,Aesculus flava
58,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Rosanae,Myrtales,Myrtaceae,Eucalyptus,Eucalyptus ovata,Black Gum,835085,,,,,,,,,,,
59,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Asteranae,Cornales,Nyssaceae,Nyssa,Nyssa aquatica,Water Tupelo,27824,,,,,,,,,,,
60,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Asteranae,Ericales,Ebenaceae,Diospyros,Diospyros virginiana,American persimmon,23855,,,,,,,,,,,
61,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Asteranae,Lamiales,Oleaceae,Fraxinus,Fraxinus americana,white ash,32931,,,,,,,,,,,
62,Plantae,Viridiplantae,Streptophyta,Embryophyta,Tracheophyta,Spermatophytina,Magnoliopsida,Asteranae,Lamiales,Oleaceae,Fraxinus,Fraxinus pennsylvanica,green ash,32929,,,,,,,,,,,
